Date,Adj Close
01/03/2000,17369.63086
01/04/2000,17072.82031
01/05/2000,15846.71973
01/06/2000,15153.23047
01/07/2000,15405.62988
01/10/2000,15848.15039
01/11/2000,15862.09961
01/12/2000,15714.2002
1/13/2000,15633.95996
1/14/2000,15542.23047
1/17/2000,15574.55957
1/18/2000,15789.2002
1/19/2000,15275.33984
1/20/2000,15215.30957
1/21/2000,15108.41016
1/24/2000,15167.54981
1/25/2000,15103.04004
1/26/2000,15427.71973
1/27/2000,15917.80957
1/28/2000,16185.94043
1/31/2000,15532.33984
02/01/2000,15653.86035
02/02/2000,15789.82031
02/03/2000,15968.12012
02/04/2000,null
02/07/2000,null
02/08/2000,16228.73047
02/09/2000,16819.46094
02/10/2000,16845.16992
02/11/2000,17380.30078
2/14/2000,17188.96094
2/15/2000,16688.16016
2/16/2000,17043.39063
2/17/2000,16981.23047
2/18/2000,16599.16016
2/21/2000,16322.37012
2/22/2000,16255.16992
2/23/2000,16376.79004
2/24/2000,17058.66016
2/25/2000,17200.98047
2/28/2000,16984.43945
2/29/2000,17169.43945
03/01/2000,16843.58984
03/02/2000,16936.81055
03/03/2000,17285.24023
03/06/2000,17758.75977
03/07/2000,17865.35938
03/08/2000,17951.42969
03/09/2000,17637.0293
03/10/2000,17831.85938
3/13/2000,17096.67969
3/14/2000,16929.16016
3/15/2000,16747.19922
3/16/2000,16359
3/17/2000,17082.99023
3/20/2000,17234.46094
3/21/2000,17199.98047
3/22/2000,17547.03906
3/23/2000,17715.58008
3/24/2000,17784.57031
3/27/2000,18292.85938
3/28/2000,18301.68945
3/29/2000,18096.36914
3/30/2000,17467.15039
3/31/2000,17406.53906
04/03/2000,16892.92969
04/04/2000,null
04/05/2000,16318.44043
04/06/2000,16491.39063
04/07/2000,16941.67969
04/10/2000,16850.74023
04/11/2000,16487.66016
04/12/2000,16577.08984
4/13/2000,16352.55957
4/14/2000,16142.75977
4/17/2000,14762.37012
4/18/2000,15278.32031
4/19/2000,15427.2002
4/20/2000,15367.13965
4/21/2000,null
4/24/2000,null
4/25/2000,15380.00977
4/26/2000,15227.38965
4/27/2000,15192.87012
4/28/2000,15519.29981
05/01/2000,null
05/02/2000,15817.75977
05/03/2000,15577.46973
